Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
219.027778423282,C07480,M+K[1+],0.000301956512004153
219.027778423282,C13747,M+K[1+],0.000301956512004153
547.325644867394,C05791,M-CO2+H[1+],0.00223159937604578
247.107519019337,C05642,M-H2O+H[1+],0.00015744743299706
117.054721496692,C00141,M+H[1+],0.000145029921995388
117.054721496692,C00279,M-HCOOK+H[1+],0.000145029921995388
117.054721496692,C01801,M-H2O+H[1+],0.000145029922009599
117.054721496692,C00379,M-H4O2+H[1+],0.000145029921995388
117.054721496692,C00532,M-H4O2+H[1+],0.000145029921995388
117.054721496692,C00322,M-CO2+H[1+],4.5029921992068e-05
385.346707731739,C01164,M+H[1+],0.000231264968988398
385.346707731739,C01802,M+H[1+],0.000231264968988398
385.346707731739,C05437,M+H[1+],0.000231264968988398
385.346707731739,C05439,M+H[1+],0.000231264968988398
385.346707731739,C05443,M+H[1+],0.000231264968988398
385.346707731739,C22112,M-CO2+H[1+],0.000231264968988398
385.346707731739,C03594,M-H2O+H[1+],0.000231264968988398
385.346707731739,C05444,M-H4O2+H[1+],0.00033126496902014
385.346707731739,C05451,M-H2O+H[1+],0.000231264968988398
385.346707731739,C05454,M-H4O2+H[1+],0.00033126496902014
385.346707731739,C13550,M-H2O+H[1+],0.000231264968988398
385.346707731739,C15519,M-H2O+H[1+],0.000231264968988398
385.346707731739,C15610,M-H2O+H[1+],0.000231264968988398
385.346707731739,C05500,M-H2O+H[1+],0.000231264968988398
385.346707731739,C05502,M-H2O+H[1+],0.000231264968988398
209.09279359386,C00328,M+H[1+],0.000717127089984615
209.09279359386,C05647,M+H[1+],0.000717127089984615
209.09279359386,C02700,M-CO+H[1+],0.000817127089987935
209.09279359386,C05648,M-CO2+H[1+],0.000717127089984615
209.09279359386,C00931,M-H2O+H[1+],0.000717127089984615
274.092258326601,C00559,M+Na[1+],0.00118185983097874
274.092258326601,C00270,M-H4O2+H[1+],0.000181859831002384
259.069127072063,C00437,M+HCOOK[1+],0.00015060529301536
259.069127072063,C03838,M-CO+H[1+],0.000250605292990258
259.069127072063,C02700,M+Na[1+],0.00015060529301536
265.118651864336,C05642,M+H[1+],0.000375397566017455
154.050455290406,C00632,M+H[1+],0.0005788236360047
223.096971094228,C00670,M-H4O2+H[1+],0.000294627458004015
223.096921915994,C00670,M-H4O2+H[1+],0.000245449223996275
362.208827042813,C00735,M[1+],0.000472957186957501
362.208827042813,C05469,M[1+],0.000472957186957501
362.208827042813,C05473,M[1+],0.000472957186957501
153.05571101666,C00121,M(S34)+H[1+],0.000165450109989251
153.05571101666,C00181,M(S34)+H[1+],0.000165450109989251
153.05571101666,C00259,M(S34)+H[1+],0.000165450109989251
153.05571101666,C00309,M(S34)+H[1+],0.000165450109989251
153.05571101666,C00310,M(S34)+H[1+],0.000165450109989251
153.05571101666,C00312,M(S34)+H[1+],0.000165450109989251
301.117160516843,C01598,M+HCOONa[1+],0.0012840500730249
213.091468420367,C01674,M+2H[2+],0.000458046403025492
